,Unnamed: 0,track_name,song_id,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,cluster
5478,10653,Out Of Love,4WzhjxvLP95y7AMDy0Atwb,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,0.481,0.267,7,-9.249,1,0.0339,0.8,0.0,0.249,0.137,117.64,spotify:track:4WzhjxvLP95y7AMDy0Atwb,https://api.spotify.com/v1/tracks/4WzhjxvLP95y7AMDy0Atwb,https://api.spotify.com/v1/audio-analysis/4WzhjxvLP95y7AMDy0Atwb,227693,3,2
5479,10654,like that,1BSAmxkrz2H8v5kpTfAT6v,Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,0.426,0.445,6,-5.776,0,0.169,0.183,0.0,0.661,0.347,56.966,spotify:track:1BSAmxkrz2H8v5kpTfAT6v,https://api.spotify.com/v1/tracks/1BSAmxkrz2H8v5kpTfAT6v,https://api.spotify.com/v1/audio-analysis/1BSAmxkrz2H8v5kpTfAT6v,185440,4,2
5480,10655,Sober,3MJYHwhJIA99vVSjBtg16j,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,0.573,0.741,9,-3.22,1,0.0788,0.171,0.0,0.104,0.526,92.021,spotify:track:3MJYHwhJIA99vVSjBtg16j,https://api.spotify.com/v1/tracks/3MJYHwhJIA99vVSjBtg16j,https://api.spotify.com/v1/audio-analysis/3MJYHwhJIA99vVSjBtg16j,194827,4,1
5481,10656,Call Out My Name,1gm616Plq4ScqNi7TVkZ5N,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.489,0.598,1,-4.929,1,0.036,0.218,0.0,0.35,0.172,134.045,spotify:track:1gm616Plq4ScqNi7TVkZ5N,https://api.spotify.com/v1/tracks/1gm616Plq4ScqNi7TVkZ5N,https://api.spotify.com/v1/audio-analysis/1gm616Plq4ScqNi7TVkZ5N,228373,3,2
5482,10657,Complicated,0jllH0usRFD4LJkJnGK9Lf,Olivia O'Brien,1QRj3hoop9Mv5VvHQkwPEp,0.657,0.355,7,-12.044,1,0.0714,0.694,0.000427,0.123,0.0808,74.99,spotify:track:0jllH0usRFD4LJkJnGK9Lf,https://api.spotify.com/v1/tracks/0jllH0usRFD4LJkJnGK9Lf,https://api.spotify.com/v1/audio-analysis/0jllH0usRFD4LJkJnGK9Lf,189000,4,2
5483,10658,"fuck, i'm lonely",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,0.806,0.558,9,-6.46,1,0.0683,0.482,0.0,0.0618,0.678,95.016,spotify:track:322tcqPhma7F6hfCeLisx0,https://api.spotify.com/v1/tracks/322tcqPhma7F6hfCeLisx0,https://api.spotify.com/v1/audio-analysis/322tcqPhma7F6hfCeLisx0,198973,4,2
5484,10660,"fuck, i'm lonely",322tcqPhma7F6hfCeLisx0,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,0.806,0.558,9,-6.46,1,0.0683,0.482,0.0,0.0618,0.678,95.016,spotify:track:322tcqPhma7F6hfCeLisx0,https://api.spotify.com/v1/tracks/322tcqPhma7F6hfCeLisx0,https://api.spotify.com/v1/audio-analysis/322tcqPhma7F6hfCeLisx0,198973,4,2
5485,10662,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,0.4,0.795,10,-3.731,0,0.461,0.119,0.0,0.159,0.702,190.097,spotify:track:0Ryd8975WihbObpp5cPW1t,https://api.spotify.com/v1/tracks/0Ryd8975WihbObpp5cPW1t,https://api.spotify.com/v1/audio-analysis/0Ryd8975WihbObpp5cPW1t,186107,4,1
5486,10664,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,Social House,5UjifI1TYefXWn9GdqDOHl,0.4,0.795,10,-3.731,0,0.461,0.119,0.0,0.159,0.702,190.097,spotify:track:0Ryd8975WihbObpp5cPW1t,https://api.spotify.com/v1/tracks/0Ryd8975WihbObpp5cPW1t,https://api.spotify.com/v1/audio-analysis/0Ryd8975WihbObpp5cPW1t,186107,4,1
5487,10666,Consequences,7sTtHHrD0zDpmzQzH3zegz,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,0.455,0.292,0,-6.792,1,0.0563,0.889,0.0,0.106,0.43,84.339,spotify:track:7sTtHHrD0zDpmzQzH3zegz,https://api.spotify.com/v1/tracks/7sTtHHrD0zDpmzQzH3zegz,https://api.spotify.com/v1/audio-analysis/7sTtHHrD0zDpmzQzH3zegz,178467,5,2
5488,10667,Something's Gotta Give,7IL3UOlcJ6nmcCMwpnlfcA,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,0.545,0.458,5,-4.6,0,0.0279,0.367,0.0,0.118,0.164,79.943,spotify:track:7IL3UOlcJ6nmcCMwpnlfcA,https://api.spotify.com/v1/tracks/7IL3UOlcJ6nmcCMwpnlfcA,https://api.spotify.com/v1/audio-analysis/7IL3UOlcJ6nmcCMwpnlfcA,236360,4,2
5489,10668,Glad He's Gone,6aIAuKNU8JlVaTmoCYYN6U,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,0.795,0.595,1,-8.073,1,0.0698,0.0823,0.0,0.128,0.502,91.025,spotify:track:6aIAuKNU8JlVaTmoCYYN6U,https://api.spotify.com/v1/tracks/6aIAuKNU8JlVaTmoCYYN6U,https://api.spotify.com/v1/audio-analysis/6aIAuKNU8JlVaTmoCYYN6U,196348,4,2
5490,10669,All These Years,4XLu3tTSZiPFVC9mmuR6Zp,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,0.732,0.436,1,-7.409,0,0.117,0.609,0.0,0.108,0.475,94.852,spotify:track:4XLu3tTSZiPFVC9mmuR6Zp,https://api.spotify.com/v1/tracks/4XLu3tTSZiPFVC9mmuR6Zp,https://api.spotify.com/v1/audio-analysis/4XLu3tTSZiPFVC9mmuR6Zp,164373,4,2
5491,10670,"She's Not Me, Pt. 1 & 2",2QRIcuedP1GlMiCgqToDgF,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,0.581,0.395,11,-11.095,1,0.0423,0.8,0.0,0.107,0.225,95.919,spotify:track:2QRIcuedP1GlMiCgqToDgF,https://api.spotify.com/v1/tracks/2QRIcuedP1GlMiCgqToDgF,https://api.spotify.com/v1/audio-analysis/2QRIcuedP1GlMiCgqToDgF,332383,4,2
